Category,City,Country/Region,Customer Name,Date String,Manufacturer,Order Date,Order ID,Postal Code,Product Name,Region,Segment,Selected State,Ship Date,Ship Mode,Size,State,State Name,State Set,Sub-Category,Discount,Profit,Quantity,Sales
Technology,San Francisco,United States,Zuschuss Donatelli,2018-08-01,Cisco,2018/8/27,CA-2018-143336,94109,Cisco SPA 501G IP Phone,West,Consumer,伪,2018/9/1,Second Class,伪,California,Other (median),3,Phones,0.2,16.011,3,$213
Office Supplies,San Francisco,United States,Zuschuss Donatelli,2018-08-01,Wilson Jones,2018/8/27,CA-2018-143336,94109,"Wilson Jones Hanging View Binder, White, 1""",West,Consumer,伪,2018/9/1,Second Class,伪,California,Other (median),3,Binders,0.2,7.384,4,$23
Office Supplies,Fremont,United States,Ken Black,2020-12-01,Newell,2020/12/9,CA-2020-137330,68025,Newell 318,Central,Corporate,伪,2020/12/13,Standard Class,伪,Nebraska,Nebraska,2,Art,0,5.0596,7,$19
Office Supplies,Fremont,United States,Ken Black,2020-12-01,Acco,2020/12/9,CA-2020-137330,68025,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,Corporate,伪,2020/12/13,Standard Class,伪,Nebraska,Nebraska,2,Appliances,0,15.6884,7,$60
Furniture,Philadelphia,United States,Sandra Flanagan,2021-07-01,Global,2021/7/16,US-2021-156909,19140,"Global Deluxe Stacking Chair, Gray",East,Consumer,伪,2021/7/18,Second Class,伪,Pennsylvania,Other (median),3,Chairs,0.3,-1.0196,2,$71
Furniture,Orem,United States,Emily Burns,2019-09-01,Bretford,2019/9/25,CA-2019-106320,84057,Bretford CR4500 Series Slim Rectangular Table,West,Consumer,伪,2019/9/30,Standard Class,伪,Utah,Utah,2,Tables,0,240.2649,3,"$1,045"
Office Supplies,Los Angeles,United States,Eric Hoffmann,2020-01-01,Wilson Jones,2020/1/16,CA-2020-121755,90049,Wilson Jones Active Use Binders,West,Consumer,伪,2020/1/20,Second Class,伪,California,Other (median),3,Binders,0.2,4.2224,2,$12
Technology,Los Angeles,United States,Eric Hoffmann,2020-01-01,Other,2020/1/16,CA-2020-121755,90049,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,Consumer,伪,2020/1/20,Second Class,伪,California,Other (median),3,Accessories,0,11.7741,3,$91
Furniture,Philadelphia,United States,Tracy Blumstein,2019-09-01,Riverside,2019/9/17,US-2019-150630,19140,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,Consumer,伪,2019/9/21,Standard Class,伪,Pennsylvania,Other (median),3,Bookcases,0.5,-1665.0522,7,"$3,083"
Office Supplies,Philadelphia,United States,Tracy Blumstein,2019-09-01,Avery,2019/9/17,US-2019-150630,19140,Avery Recycled Flexi-View Covers for Binding Systems,East,Consumer,伪,2019/9/21,Standard Class,伪,Pennsylvania,Other (median),3,Binders,0.7,-7.0532,2,$10
Furniture,Philadelphia,United States,Tracy Blumstein,2019-09-01,Howard Miller,2019/9/17,US-2019-150630,19140,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,Consumer,伪,2019/9/21,Standard Class,伪,Pennsylvania,Other (median),3,Furnishings,0.2,15.525,3,$124
Office Supplies,Philadelphia,United States,Tracy Blumstein,2019-09-01,Poly,2019/9/17,US-2019-150630,19140,Poly String Tie Envelopes,East,Consumer,伪,2019/9/21,Standard Class,伪,Pennsylvania,Other (median),3,Envelopes,0.2,1.1016,2,$3
Office Supplies,Philadelphia,United States,Tracy Blumstein,2019-09-01,Boston,2019/9/17,US-2019-150630,19140,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",East,Consumer,伪,2019/9/21,Standard Class,伪,Pennsylvania,Other (median),3,Art,0.2,9.709200000,6,$86
Office Supplies,Philadelphia,United States,Tracy Blumstein,2019-09-01,Acco,2019/9/17,US-2019-150630,19140,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",East,Consumer,伪,2019/9/21,Standard Class,伪,Pennsylvania,Other (median),3,Binders,0.7,-5.715,6,$7
Office Supplies,Philadelphia,United States,Tracy Blumstein,2019-09-01,Other,2019/9/17,US-2019-150630,19140,Lumber Crayons,East,Consumer,伪,2019/9/21,Standard Class,伪,Pennsylvania,Other (median),3,Art,0.2,3.546,2,$16
Office Supplies,Houston,United States,Matt Abelman,2021-10-01,Easy-staple paper,2021/10/19,CA-2021-107727,77095,Easy-staple paper,Central,Home Office,真,2021/10/23,Second Class,真,Texas,Texas,1,Paper,0.2,9.9468,3,$29
Technology,Richardson,United States,Gene Hale,2020-12-01,GE,2020/12/8,CA-2020-117590,75080,GE 30524EE4,Central,Corporate,真,2020/12/10,First Class,真,Texas,Texas,1,Phones,0.2,123.4737,7,"$1,098"
Furniture,Richardson,United States,Gene Hale,2020-12-01,Electrix,2020/12/8,CA-2020-117590,75080,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",Central,Corporate,真,2020/12/10,First Class,真,Texas,Texas,1,Furnishings,0.6,-147.963,5,$191
Office Supplies,Houston,United States,Steve Nguyen,2019-12-01,Other,2019/12/27,CA-2019-117415,77041,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Central,Home Office,真,2019/12/31,Standard Class,真,Texas,Texas,1,Envelopes,0.2,35.415,9,$113
Furniture,Houston,United States,Steve Nguyen,2019-12-01,Atlantic,2019/12/27,CA-2019-117415,77041,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Central,Home Office,真,2019/12/31,Standard Class,真,Texas,Texas,1,Bookcases,0.32,-46.9764,3,$532
Furniture,Houston,United States,Steve Nguyen,2019-12-01,Global,2019/12/27,CA-2019-117415,77041,"Global Fabric Manager's Chair, Dark Gray",Central,Home Office,真,2019/12/31,Standard Class,真,Texas,Texas,1,Chairs,0.3,-15.147,3,$212
Technology,Houston,United States,Steve Nguyen,2019-12-01,Plantronics,2019/12/27,CA-2019-117415,77041,Plantronics HL10 Handset Lifter,Central,Home Office,真,2019/12/31,Standard Class,真,Texas,Texas,1,Phones,0.2,41.7564,4,$371
Technology,Naperville,United States,Linda Cazamias,2021-09-01,Panasonic,2021/9/10,CA-2021-120999,60540,Panasonic Kx-TS550,Central,Corporate,伪,2021/9/15,Standard Class,伪,Illinois,Other (median),3,Phones,0.2,16.5564,4,$147
Office Supplies,Los Angeles,United States,Ruben Ausman,2020-07-01,Eldon,2020/7/17,CA-2020-101343,90049,"Eldon Base for stackable storage shelf, platinum",West,Corporate,伪,2020/7/22,Standard Class,伪,California,Other (median),3,Storage,0,3.894000000,2,$78
Office Supplies,Melbourne,United States,Erin Smith,2021-09-01,Advantus,2021/9/19,CA-2021-139619,32935,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",South,Corporate,伪,2021/9/23,Standard Class,伪,Florida,Other (median),3,Storage,0.2,9.561600000,2,$96
Technology,Eagan,United States,Odella Nelson,2020-03-01,Verbatim,2020/3/11,CA-2020-118255,55122,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Central,Corporate,伪,2020/3/13,First Class,伪,Minnesota,Other (median),3,Accessories,0,19.7714,2,$46
Office Supplies,Eagan,United States,Odella Nelson,2020-03-01,Wilson Jones,2020/3/11,CA-2020-118255,55122,Wilson Jones Leather-Like Binders with DublLock Round Rings,Central,Corporate,伪,2020/3/13,First Class,伪,Minnesota,Other (median),3,Binders,0,8.2062,2,$17
Office Supplies,Westland,United States,Patrick O'Donnell,2018-10-01,Gould Plastics,2018/10/20,CA-2018-146703,48185,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Central,Consumer,伪,2018/10/25,Second Class,伪,Michigan,Other (median),3,Storage,0,8.478400000,4,$212
Technology,Dover,United States,Lena Hernandez,2020-06-01,Imation,2020/6/20,CA-2020-169194,19901,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,伪,2020/6/25,Standard Class,伪,Delaware,Other (median),3,Accessories,0,4.95,3,$45
Technology,Dover,United States,Lena Hernandez,2020-06-01,Other,2020/6/20,CA-2020-169194,19901,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",East,Consumer,伪,2020/6/25,Standard Class,伪,Delaware,Other (median),3,Phones,0,6.104,2,$22
Office Supplies,New Albany,United States,Darren Powers,2019-04-01,C-Line,2019/4/18,CA-2019-115742,47150,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Central,Consumer,伪,2019/4/22,Standard Class,伪,Indiana,Other (median),3,Binders,0,17.9634,6,$38
Office Supplies,New Albany,United States,Darren Powers,2019-04-01,Avery,2019/4/18,CA-2019-115742,47150,Avery 485,Central,Consumer,伪,2019/4/22,Standard Class,伪,Indiana,Other (median),3,Labels,0,35.3346,6,$75
Furniture,New Albany,United States,Darren Powers,2019-04-01,Other,2019/4/18,CA-2019-115742,47150,Longer-Life Soft White Bulbs,Central,Consumer,伪,2019/4/22,Standard Class,伪,Indiana,Other (median),3,Furnishings,0,2.9568,2,$6
Furniture,New Albany,United States,Darren Powers,2019-04-01,Global,2019/4/18,CA-2019-115742,47150,"Global Leather Task Chair, Black",Central,Consumer,伪,2019/4/22,Standard Class,伪,Indiana,Other (median),3,Chairs,0,17.0981,1,$90
Office Supplies,New York City,United States,Janet Molinari,2020-12-01,Advantus,2020/12/11,CA-2020-105816,10024,Advantus Push Pins,East,Corporate,伪,2020/12/17,Standard Class,伪,New York,Other (median),3,Fasteners,0,6.2566,7,$15
Technology,New York City,United States,Janet Molinari,2020-12-01,AT&T,2020/12/11,CA-2020-105816,10024,AT&T CL83451 4-Handset Telephone,East,Corporate,伪,2020/12/17,Standard Class,伪,New York,Other (median),3,Phones,0,298.6855,5,"$1,030"
Office Supplies,Troy,United States,Ted Butterfield,2020-06-01,Other,2020/6/17,CA-2020-111682,12180,Home/Office Personal File Carts,East,Consumer,伪,2020/6/18,First Class,伪,New York,Other (median),3,Storage,0,52.14,6,$209
Office Supplies,Troy,United States,Ted Butterfield,2020-06-01,Xerox,2020/6/17,CA-2020-111682,12180,Xerox 232,East,Consumer,伪,2020/6/18,First Class,伪,New York,Other (median),3,Paper,0,15.552,5,$32
Furniture,Troy,United States,Ted Butterfield,2020-06-01,Novimex,2020/6/17,CA-2020-111682,12180,Novimex Turbo Task Chair,East,Consumer,伪,2020/6/18,First Class,伪,New York,Other (median),3,Chairs,0.1,7.098000000,5,$319
Office Supplies,Troy,United States,Ted Butterfield,2020-06-01,Array,2020/6/17,CA-2020-111682,12180,"Array Parchment Paper, Assorted Colors",East,Consumer,伪,2020/6/18,First Class,伪,New York,Other (median),3,Paper,0,6.9888,2,$15
Technology,Troy,United States,Ted Butterfield,2020-06-01,Imation,2020/6/17,CA-2020-111682,12180,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,East,Consumer,伪,2020/6/18,First Class,伪,New York,Other (median),3,Accessories,0,3.3,2,$30
Office Supplies,Troy,United States,Ted Butterfield,2020-06-01,Other,2020/6/17,CA-2020-111682,12180,Plastic Binding Combs,East,Consumer,伪,2020/6/18,First Class,伪,New York,Other (median),3,Binders,0.2,16.362,4,$48
Office Supplies,Troy,United States,Ted Butterfield,2020-06-01,Prang,2020/6/17,CA-2020-111682,12180,Prang Dustless Chalk Sticks,East,Consumer,伪,2020/6/18,First Class,伪,New York,Other (median),3,Art,0,0.84,1,$2
Technology,Los Angeles,United States,Kunst Miller,2019-11-01,Verbatim,2019/11/24,CA-2019-135545,90004,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",West,Consumer,伪,2019/11/30,Standard Class,伪,California,Other (median),3,Accessories,0,6.1512,2,$14
Office Supplies,Los Angeles,United States,Kunst Miller,2019-11-01,Acco,2019/11/24,CA-2019-135545,90004,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",West,Consumer,伪,2019/11/30,Standard Class,伪,California,Other (median),3,Binders,0.2,9.3612,6,$26
Office Supplies,Los Angeles,United States,Kunst Miller,2019-11-01,Xerox,2019/11/24,CA-2019-135545,90004,Xerox 1943,West,Consumer,伪,2019/11/30,Standard Class,伪,California,Other (median),3,Paper,0,68.9631,3,$147
Furniture,Los Angeles,United States,Kunst Miller,2019-11-01,Luxo,2019/11/24,CA-2019-135545,90004,Luxo Economy Swing Arm Lamp,West,Consumer,伪,2019/11/30,Standard Class,伪,California,Other (median),3,Furnishings,0,22.3328,4,$80
Furniture,Chicago,United States,Paul Stevenson,2019-04-01,Global,2019/4/30,US-2019-164175,60610,"Global Value Mid-Back Manager's Chair, Gray",Central,Home Office,伪,2019/5/5,Standard Class,伪,Illinois,Other (median),3,Chairs,0.3,-15.2225,5,$213
Office Supplies,Gilbert,United States,Brendan Sweed,2018-12-01,Hunt,2018/12/5,CA-2018-106376,85234,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",West,Corporate,伪,2018/12/10,Standard Class,伪,Arizona,Other (median),3,Art,0.2,111.3024,8,"$1,113"
Technology,Gilbert,United States,Brendan Sweed,2018-12-01,Other,2018/12/5,CA-2018-106376,85234,netTALK DUO VoIP Telephone Service,West,Corporate,伪,2018/12/10,Standard Class,伪,Arizona,Other (median),3,Phones,0.2,62.988,4,$168
Office Supplies,Springfield,United States,Karen Daniels,2020-06-01,Other,2020/6/4,CA-2020-119823,22153,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",South,Consumer,伪,2020/6/6,First Class,伪,Virginia,Other (median),3,Paper,0,35.6636,2,$76
Office Supplies,New York City,United States,Henry MacAllister,2020-09-01,Avery,2020/9/18,CA-2020-106075,10009,Avery Binding System Hidden Tab Executive Style Index Sets,East,Consumer,伪,2020/9/23,Standard Class,伪,New York,Other (median),3,Binders,0.2,1.731,1,$5
Office Supplies,Jackson,United States,Tracy Blumstein,2021-09-01,Other,2021/9/14,CA-2021-114440,49201,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Central,Consumer,伪,2021/9/17,Second Class,伪,Michigan,Other (median),3,Paper,0,8.763,3,$19
Furniture,Memphis,United States,Joel Eaton,2019-04-01,Other,2019/4/26,US-2019-134026,38109,High-Back Leather Manager's Chair,South,Consumer,伪,2019/5/2,Standard Class,伪,Tennessee,Other (median),3,Chairs,0.2,-114.3912,8,$832
Furniture,Memphis,United States,Joel Eaton,2019-04-01,Tenex,2019/4/26,US-2019-134026,38109,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",South,Consumer,伪,2019/5/2,Standard Class,伪,Tennessee,Other (median),3,Furnishings,0.2,1.213,2,$97
Office Supplies,Memphis,United States,Joel Eaton,2019-04-01,SAFCO,2019/4/26,US-2019-134026,38109,Safco Industrial Wire Shelving System,South,Consumer,伪,2019/5/2,Standard Class,伪,Tennessee,Other (median),3,Storage,0.2,-18.196,1,$73
Office Supplies,Houston,United States,Ken Brennan,2021-12-01,Other,2021/12/9,US-2021-118038,77041,Economy Binders,Central,Corporate,真,2021/12/11,First Class,真,Texas,Texas,1,Binders,0.8,-1.9344,3,$1
Furniture,Houston,United States,Ken Brennan,2021-12-01,Other,2021/12/9,US-2021-118038,77041,"6"" Cubicle Wall Clock, Black",Central,Corporate,真,2021/12/11,First Class,真,Texas,Texas,1,Furnishings,0.6,-5.8248,3,$10
Office Supplies,Houston,United States,Ken Brennan,2021-12-01,Other,2021/12/9,US-2021-118038,77041,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Central,Corporate,真,2021/12/11,First Class,真,Texas,Texas,1,Storage,0.2,2.724,3,$27
Furniture,Houston,United States,Joel Eaton,2018-11-01,Eldon,2018/11/26,US-2018-147606,77070,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Central,Consumer,真,2018/12/1,Second Class,真,Texas,Texas,1,Furnishings,0.6,-14.475,5,$19
Office Supplies,Decatur,United States,Stewart Carmichael,2020-06-01,Other,2020/6/12,CA-2020-127208,35601,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",South,Corporate,伪,2020/6/15,First Class,伪,Alabama,Alabama,2,Appliances,0,56.2032,1,$208
Office Supplies,Decatur,United States,Stewart Carmichael,2020-06-01,Avery,2020/6/12,CA-2020-127208,35601,Avery Heavy-Duty EZD  Binder With Locking Rings,South,Corporate,伪,2020/6/15,First Class,伪,Alabama,Alabama,2,Binders,0,8.0352,3,$17
Office Supplies,San Francisco,United States,Duane Noonan,2018-10-01,Other,2018/10/12,CA-2018-139451,94122,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",West,Consumer,伪,2018/10/16,Standard Class,伪,California,Other (median),3,Art,0,4.172,5,$15
Office Supplies,San Francisco,United States,Duane Noonan,2018-10-01,Other,2018/10/12,CA-2018-139451,94122,"Sortfiler Multipurpose Personal File Organizer, Black",West,Consumer,伪,2018/10/16,Standard Class,伪,California,Other (median),3,Storage,0,6.2031,1,$21
Office Supplies,Durham,United States,Julie Creighton,2019-09-01,Other,2019/9/3,CA-2019-149734,27707,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,South,Corporate,伪,2019/9/8,Standard Class,伪,North Carolina,Other (median),3,Envelopes,0.2,62.8075,7,$201
Office Supplies,Chicago,United States,Christopher Schild,2021-11-01,SAFCO,2021/11/13,US-2021-119662,60623,Safco Industrial Wire Shelving,Central,Home Office,伪,2021/11/16,First Class,伪,Illinois,Other (median),3,Storage,0.2,-48.9549,3,$230
Furniture,Columbia,United States,Patrick O'Donnell,2021-05-01,Novimex,2021/5/28,CA-2021-140088,29203,Novimex Swivel Fabric Task Chair,South,Consumer,伪,2021/5/30,Second Class,伪,South Carolina,South Carolina,2,Chairs,0,33.2156,2,$302
Technology,Rochester,United States,Paul Gonzalez,2021-10-01,Logitech,2021/10/26,CA-2021-155558,55901,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Central,Consumer,伪,2021/11/2,Standard Class,伪,Minnesota,Other (median),3,Accessories,0,6.7966,1,$20
Office Supplies,Rochester,United States,Paul Gonzalez,2021-10-01,Avery,2021/10/26,CA-2021-155558,55901,Avery 511,Central,Consumer,伪,2021/11/2,Standard Class,伪,Minnesota,Other (median),3,Labels,0,2.9568,2,$6
Office Supplies,Houston,United States,Gary Mitchum,2020-04-01,Eldon,2020/4/5,CA-2020-159695,77095,Eldon Portable Mobile Manager,Central,Home Office,真,2020/4/10,Second Class,真,Texas,Texas,1,Storage,0.2,13.8572,7,$158
Office Supplies,Los Angeles,United States,Jim Sink,2020-09-01,Other,2020/9/17,CA-2020-109806,90036,Turquoise Lead Holder with Pocket Clip,West,Corporate,伪,2020/9/22,Standard Class,伪,California,Other (median),3,Art,0,6.633,3,$20
Technology,Los Angeles,United States,Jim Sink,2020-09-01,Panasonic,2020/9/17,CA-2020-109806,90036,Panasonic Kx-TS550,West,Corporate,伪,2020/9/22,Standard Class,伪,California,Other (median),3,Phones,0.2,8.2782,2,$74
Office Supplies,Los Angeles,United States,Jim Sink,2020-09-01,Xerox,2020/9/17,CA-2020-109806,90036,Xerox 1995,West,Corporate,伪,2020/9/22,Standard Class,伪,California,Other (median),3,Paper,0,3.1104,1,$6
Office Supplies,Minneapolis,United States,Karl Braun,2019-01-01,Xerox,2019/1/31,CA-2019-149587,55407,Xerox 1999,Central,Consumer,伪,2019/2/5,Second Class,伪,Minnesota,Other (median),3,Paper,0,6.2208,2,$13
Furniture,Minneapolis,United States,Karl Braun,2019-01-01,Seth Thomas,2019/1/31,CA-2019-149587,55407,"Seth Thomas 13 1/2"" Wall Clock",Central,Consumer,伪,2019/2/5,Second Class,伪,Minnesota,Other (median),3,Furnishings,0,16.5354,3,$53
Office Supplies,Minneapolis,United States,Karl Braun,2019-01-01,Ibico,2019/1/31,CA-2019-149587,55407,Ibico Standard Transparent Covers,Central,Consumer,伪,2019/2/5,Second Class,伪,Minnesota,Other (median),3,Binders,0,16.1504,2,$33
Office Supplies,Portland,United States,Roger Barcio,2021-11-01,Other,2021/11/6,US-2021-109484,97206,Flexible Leather- Look Classic Collection Ring Binder,West,Home Office,伪,2021/11/12,Standard Class,伪,Oregon,Other (median),3,Binders,0.7,-3.788,1,$6
Furniture,New York City,United States,Parhena Norris,2021-11-01,Other,2021/11/9,CA-2021-161018,10009,9-3/4 Diameter Round Wall Clock,East,Home Office,伪,2021/11/11,Second Class,伪,New York,Other (median),3,Furnishings,0,40.5426,7,$97
Office Supplies,San Francisco,United States,Katherine Ducich,2021-06-01,Other,2021/6/17,CA-2021-157833,94122,Trimflex Flexible Post Binders,West,Consumer,伪,2021/6/20,First Class,伪,California,Other (median),3,Binders,0.2,17.9592,3,$51
Office Supplies,Saint Paul,United States,Elpida Rittenbach,2020-09-01,Fellowes,2020/9/6,CA-2020-149223,55106,Fellowes Basic Home/Office Series Surge Protectors,Central,Corporate,伪,2020/9/11,Standard Class,伪,Minnesota,Other (median),3,Appliances,0,22.5852,6,$78
Office Supplies,Chicago,United States,Rick Bensley,2020-08-01,Avery,2020/8/29,CA-2020-158568,60610,Avery Personal Creations Heavyweight Cards,Central,Home Office,伪,2020/9/2,Standard Class,伪,Illinois,Other (median),3,Paper,0.2,22.6184,7,$65
Technology,Chicago,United States,Rick Bensley,2020-08-01,SanDisk,2020/8/29,CA-2020-158568,60610,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Central,Home Office,伪,2020/9/2,Standard Class,伪,Illinois,Other (median),3,Accessories,0.2,-10.7973,3,$96
Office Supplies,Chicago,United States,Rick Bensley,2020-08-01,Avery,2020/8/29,CA-2020-158568,60610,Avery Hidden Tab Dividers for Binding Systems,Central,Home Office,伪,2020/9/2,Standard Class,伪,Illinois,Other (median),3,Binders,0.8,-3.0396,3,$2
Office Supplies,Rochester,United States,Gary Zandusky,2020-12-01,Universal,2020/12/1,CA-2020-129903,55901,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),Central,Consumer,伪,2020/12/4,Second Class,伪,Minnesota,Other (median),3,Paper,0,11.7208,4,$24
Technology,Aurora,United States,Lena Cacioppo,2019-11-01,Logitech,2019/11/13,US-2019-156867,80013,Logitech K350 2.4Ghz Wireless Keyboard,West,Consumer,伪,2019/11/17,Standard Class,伪,Colorado,Other (median),3,Accessories,0.2,-26.8758,6,$239
